SAP Cost Center,SAP Parent Customer,BCA,D365 Account
HZHRXHNZZO,HZ SF LSHC,0,(blank)
HZIDLHNZZS,HZ SF LSHC,0,(blank)
HZITXHNZZO,HZ SF LSHC,0,(blank)
HZLEPHNZZS,HZ SF LSHC,0,(blank)
HZLODHNZZT,HZ SF LSHC,0,(blank)
HZMGTHNZZO,HZ SF LSHC,0,(blank)
HZNBHHNZZS,HZ SF LSHC,0,(blank)
HZNBHHNZZT,HZ SF LSHC,0,(blank)
HZOTHHNZZS,HZ SF LSHC,0,(blank)
HZQAXHNZZO,HZ SF LSHC,0,(blank)
HZTOHHNZZS,HZ SF LSHC,0,(blank)
HZTOHHNZZT,HZ SF LSHC,0,(blank)
HZZHYHNZZS,HZ SF LSHC,0,(blank)
HZZHYHNZZT,HZ SF LSHC,0,(blank)
HZZSTHNZZS,HZ SF LSHC,0,(blank)
HZZSTHNZZT,HZ SF LSHC,0,(blank)
IBMXXGZIHC,IBM,0,(blank)
IDLEXBJALS,IDLE SPACE,0,(blank)
IDLEXBJXWS,IDLE SPACE,0,(blank)
IDLEXCDXXS,IDLE SPACE,0,(blank)
IDLEXGHD1S,IDLE SPACE,0,(blank)
IDLEXGZHPS,IDLE SPACE,0,(blank)
IDLEXSHDQS,IDLE SPACE,0,(blank)
IDLEXSHFSS,IDLE SPACE,0,(blank)
IDLEXSHHTS,IDLE SPACE,0,(blank)
IDLEXSHKQS,IDLE SPACE,0,(blank)
IDLEXSHMFS,IDLE SPACE,0,(blank)
IDLEXSHYXS,IDLE SPACE,0,(blank)
IDLEXSYXXS,IDLE SPACE,0,(blank)
IDLEXSZOFS,IDLE SPACE,0,(blank)
IDLEXWHFWS,IDLE SPACE,0,(blank)
IDLEXWHIHS,IDLE SPACE,0,(blank)
INDIGWHTRD,Indigo,N211617,Indigo Living
INFINSHTRD,INFINEON,N211331,INFINEON
INFINWXIFS,INFINEON,N190244,INFINEON
INFINWXWHS,INFINEON,N211632,INFINEON
INFISBJXWS,INFINEON,N200445,INFINEON
INTELCDIHS,INTEL,N211173,DHL Supply Chain
INTELCDXKS,INTEL,N200719,INTEL
ISCFZBD10F,ISC BD Fuzhou,0,(blank)
ISCNBBD04F,ISC BD Ningbo,0,(blank)
ISCNBBD05F,ISC BD Ningbo,0,(blank)
ISCOFBGOHF,ISC Overhead,0,(blank)
ISCOHBGOHF,ISC Overhead,0,(blank)
ISCSABGOHF,ISC Overhead,0,(blank)
ISCSEBGOHF,ISC Overhead,N211540,(blank)
ISCSFBGOHF,ISC Overhead,S211227,(blank)
ISCSHBD01F,ISC BD Shanghai,0,(blank)
ISCSHBD02F,ISC BD Shanghai,0,(blank)
ISCSHBD03F,ISC BD Shanghai,0,(blank)
ISCSNBGOHF,ISC Overhead,N211002,(blank)
ISCSSBGOHF,ISC Overhead,0,(blank)
ISCSXBGOHF,ISC Overhead,0,(blank)
ISCSZBD11F,ISC BD Shenzhen,0,(blank)
ISCXMBD07F,ISC BD Xiamen,0,(blank)
ISCXMBD08F,ISC BD Xiamen,0,(blank)
ISCXMBD09F,ISC BD Xiamen,0,(blank)
JCBUKSHIHS,JCB,N200887,DHL Supply Chain
JCBXXSHKQS,JCB,0,(blank)
JCBXXSHTRT,JCB,0,(blank)
JETSTCQTRD,Chongqing Jetstar,N200637,Chongqing Jetstar Logistics
JIANMSHLXS,Jianmin,N211570,Guangzhou Jianmin
JIANMSHTRR,Jianmin,N211570,Guangzhou Jianmin
JIANMSHTRT,Jianmin,N211570,Guangzhou Jianmin
JIARUSZTRT,Jiarui Food,N190150,SF Express
JIASEWXTRF,Jia Sheng,N200789,Faw Jiefang Automotive
JIASHWXTRT,Jia Sheng,N211140,Wu xi Jia sheng
JIMINJXJXR,济民可信,0,(blank)
JIMINJXJXT,济民可信,0,(blank)
JINGRSHTRT,Jingrui,N190250,Jing Rui Glasses
JINSHSHTRD,Ningbo Jinsheng,N200660,Ningbo Jinsheng International Logistics
JINYASHTRD,Zhejiang Jinyao,N211557,Zhejiang Jinyao international Logistics
JINYUKMTRD,Kunming Jinyu,N200659,Kunming Jinyu Logistics
JINYUKMTRD,Kunming Jinyu,N200659,Longchuan Pengjin Trading
JLADMJLCCO,JL SF LSHC,0,(blank)
JLANNJLCCS,JL SF LSHC,0,(blank)
JLBDXJLCCO,JL SF LSHC,0,(blank)
JLBRYJLCCS,JL SF LSHC,0,(blank)
JLDILJLCCS,JL SF LSHC,0,(blank)
JLFASJLCCS,JL SF LSHC,0,(blank)
JLFINJLCCO,JL SF LSHC,0,(blank)
JLGBIJLCCS,JL SF LSHC,0,(blank)
JLGYGJLCCS,JL SF LSHC,0,(blank)
JLHDYJLCCS,JL SF LSHC,0,(blank)
JLHRXJLCCO,JL SF LSHC,0,(blank)
JLHUDJLCCS,JL SF LSHC,0,(blank)
JLHUJJLCCS,JL SF LSHC,0,(blank)
JLHURJLCCS,JL SF LSHC,0,(blank)
JLIDLJLCCS,JL SF LSHC,0,(blank)
JLITXJLCCO,JL SF LSHC,0,(blank)
JLJIZJLCCS,JL SF LSHC,0,(blank)
JLJWKJLCCS,JL SF LSHC,0,(blank)
JLJZTJLCCS,JL SF LSHC,0,(blank)
JLLEPJLCCS,JL SF LSHC,0,(blank)
JLMEYJLCCS,JL SF LSHC,0,(blank)
JLMGTJLCCO,JL SF LSHC,0,(blank)
JLMKSJLCCS,JL SF LSHC,0,(blank)
JLNBHJLCCS,JL SF LSHC,0,(blank)
JLNBHJLCCT,JL SF LSHC,0,(blank)
JLOTHJLCCS,JL SF LSHC,0,(blank)
JLQAXJLCCO,JL SF LSHC,0,(blank)
JLQHDJLCCS,JL SF LSHC,0,(blank)
JLRXXBJIHS,TATA,N200112,(blank)
JLRXXBJTRT,TATA,0,(blank)
JLRXXCQJLS,TATA,N200112,(blank)
JLRXXFSIHS,TATA,N200112,(blank)
JLRXXFSTRT,TATA,0,(blank)
JLRXXSHTRT,TATA,N200530,JAGUAR LAND ROVER
JLRXXSUXDS,TATA,N200112,(blank)
JLSFEJLCCS,JL SF LSHC,0,(blank)
JLTOGJLCCS,JL SF LSHC,0,(blank)
JLWECJLCCS,JL SF LSHC,0,(blank)
JLWEGJLCCS,JL SF LSHC,0,(blank)
JLWHUJLCCS,JL SF LSHC,0,(blank)
JLXHUQDTRD,Jilin Xainghui,N211321,Ji Lin Xianghui Trading
JLZHJJLCCS,JL SF LSHC,0,(blank)
JMCXXTJJMS,Jiangling Motors,N200107,FORD MOTOR
JOHNCTJTRT,SMITHS GROUP,N211080,John Crane
JOHNDCDTRT,DEERE & COMPANY,N211702,John Deere
JOHNDCDXDS,DEERE & COMPANY,N211702,John Deere
JOHNSSHMFP,JOHNSON & JOHNSON,N190033,JOHNSON & JOHNSON
JOHNSSHMFS,JOHNSON & JOHNSON,N211097,JOHNSON & JOHNSON
JOHNSSHTRT,JOHNSON & JOHNSON,N190163,JOHNSON & JOHNSON
JSXGGNJIHS,Jiangsu Xiangguo,0,(blank)
JSZJSNJIHG,China State Construction,N200524,China State Construction
JSZJSNJLEG,China State Construction,N200766,China State Construction
JSZJSNJPKG,China State Construction,N200525,China State Construction
JTLYSBJXWS,SL - Jing Tong Lu Yuan,N200224C1,Beijing Jingtongluyuan Computer Device
JUZHOJSTRD,Shanghai Juzhou,N211461,Ju Zhou
JXBDXJXGZO,JX SF LSHC,0,(blank)
JXFINJXGZO,JX SF LSHC,0,(blank)
JXGEDJXGZO,JX SF LSHC,0,(blank)
JXITXJXGZO,JX SF LSHC,0,(blank)
JXMGTJXGZO,JX SF LSHC,0,(blank)
JXOPSJXGZS,JX SF LSHC,0,(blank)
JXQAXJXGZO,JX SF LSHC,0,(blank)
JYDDAJSTRF,Jiangyin Daoda,0,(blank)
JZTPHJLJLT,九州通,0,(blank)
KALSESHKQS,Kalsec,S190137,Kalsec
KALSESHTRT,Kalsec,S190137,Kalsec
KANGKSHTRT,Kangkun,N200092,Shanghai Kangkun Biotech
KERXXSHKQS,KERING,0,(blank)
KEYIXSYTRD,Keyi,N211030,Sky Technology Development
KEYSIBJIHS,KEYSIGHT,N211615,Keysight Technologies
KEYSISHIHS,KEYSIGHT,N200087,Keysight Technologies
KEYSISHYXS,KEYSIGHT,N190260,Keysight Technologies
KINDOCDXXS,Kindos,0,(blank)
KINDXCDTRT,Kindos Pharmaceutials,0,(blank)
KLATEBJDSS,KLA TENCOR,N211058,KLA-Tencor
KLATEDLTZS,KLA TENCOR,N200784,KLA-Tencor
KLATEGZHPS,KLA TENCOR,N211284,KLA-Tencor
KLATEHFCBS,KLA TENCOR,N200784,KLA-Tencor
KLATEJNWHS,KLA TENCOR,N200182,KLA-Tencor
KLATENJBYS,KLA TENCOR,N211058,KLA-Tencor
KLATEQDIHS,KLA TENCOR,N211241,KLA-Tencor
KLATESHTRD,KLA TENCOR,N211151,KLA-Tencor
KLATESHWHS,KLA TENCOR,N211430,KLA-Tencor
KLATESHWQS,KLA TENCOR,N200501,KLA-Tencor
KLATESHZCS,KLA TENCOR,N211098,KLA-Tencor
KLATEWHSLS,KLA TENCOR,N200784,KLA-Tencor
KLATEXAEPS,KLA TENCOR,N200753,KLA-Tencor
KLATEXMNSS,KLA TENCOR,N200784,KLA-Tencor
KLRHYBJCYT,昆仑润滑油,0,(blank)
KLRHYBJTRT,昆仑润滑油,N211497,Kunlun Lube
KLRHYBJWHS,昆仑润滑油,N200330,Kunlun Lube
KLRHYCDTRT,昆仑润滑油,N211390,Kunlun Lube
KLRHYDLTDT,昆仑润滑油,N200723,Kunlun Lube
KLRHYDLTPT,昆仑润滑油,N211506,Kunlun Lube
KLRHYDLTRT,昆仑润滑油,N200567,Kunlun Lube
KLRHYDLWHS,昆仑润滑油,0,(blank)
KLRHYDQIHS,昆仑润滑油,N211521,Kunlun Lube
KLRHYDQTRT,昆仑润滑油,0,(blank)
KLRHYKLTRT,昆仑润滑油,0,(blank)
KLRHYLATDT,昆仑润滑油,N211249,Kunlun Lube
KLRHYLATRT,昆仑润滑油,0,(blank)
KLRHYLAWHS,昆仑润滑油,N200366,Kunlun Lube
KLRHYTCIHS,昆仑润滑油,N211181,Kunlun Lube
KLRHYTCTRT,昆仑润滑油,N200891,Kunlun Lube
KLRHYTCWHS,昆仑润滑油,N211294,Kunlun Lube
KLRHYWHTRT,昆仑润滑油,N200787,Kunlun Lube
KLRHYXJTRT,昆仑润滑油,N200854,Kunlun Lube
KODAKSHMFS,Kodak,0,(blank)
KONEXCDXDS,KONE,N200808,KONE
KONICDGTDT,KONICA MINOLTA,N211243,KONICA MINOLTA
KONICDGTPT,KONICA MINOLTA,N210963C1,KONICA MINOLTA
KONICDGTRT,KONICA MINOLTA,N211243,KONICA MINOLTA
KONICSHDQS,KONICA MINOLTA,S211597,KONICA MINOLTA
KONICWXTDT,KONICA MINOLTA,N211134,KONICA MINOLTA
KONICWXTPT,KONICA MINOLTA,N211134,KONICA MINOLTA
KONICWXTRT,KONICA MINOLTA,N211243,KONICA MINOLTA
KRAFTSHKQS,KRAFT HEINZ,0,(blank)
KUDOSSHTRT,Kudosbay,0,(blank)
KUKAXCZTRD,KUKA,0,(blank)
KUKAXCZWJS,KUKA,0,(blank)
KUKAXHZTRD,KUKA,0,(blank)
KUKAXJHWHS,KUKA,0,(blank)
KUKAXJSTRD,KUKA,0,(blank)
KUKAXWXIHS,KUKA,0,(blank)
KUKAXYCTRD,KUKA,0,(blank)
KUKAXYCYDS,KUKA,0,(blank)
KUNCHCSTRD,KUNCHI,0,(blank)
KUNLNBJTRT,昆仑润滑油,N200841,(blank)
KUNLNBJWHS,昆仑润滑油,N200841C1,Kunlun Lube
KUNLNDLTDT,昆仑润滑油,0,(blank)
KUNLNDLTPT,昆仑润滑油,N211598,Kunlun Lube
KUNLNDLTRT,昆仑润滑油,N200852,Kunlun Lube
KUNLNDQIHS,昆仑润滑油,0,(blank)
KUNLNDQTRT,昆仑润滑油,0,(blank)
KUNLNLATDT,昆仑润滑油,0,(blank)
KUNLNLAWHS,昆仑润滑油,N200837,Kunlun Lube
KUNLNTCIHS,昆仑润滑油,0,(blank)
KUNLNTCTRT,昆仑润滑油,0,(blank)
KUNLNTCWHS,昆仑润滑油,0,(blank)
KUNLNWHTRT,昆仑润滑油,0,(blank)
KUNLNXJTRT,昆仑润滑油,0,(blank)
LAMREBJDSS,LAM RESEARCH,N200476,LAM RESEARCH
LAMRECDXXS,LAM RESEARCH,0,(blank)
LAMREDLTZS,LAM RESEARCH,N200476,LAM RESEARCH
LAMREHFCBS,LAM RESEARCH,N200476,LAM RESEARCH
LAMRENJLHS,LAM RESEARCH,N200476,LAM RESEARCH
LAMRESHLDS,LAM RESEARCH,N200476,LAM RESEARCH
LAMREWHSLS,LAM RESEARCH,N200476,LAM RESEARCH
LAMREWXIHS,LAM RESEARCH,N190166,LAM RESEARCH
LAMREXAEPS,LAM RESEARCH,N200476,LAM RESEARCH
LAMREXMXAS,LAM RESEARCH,N200476,LAM RESEARCH
LANDBSHKQP,Landbase,N190040,Landbase
LANDBSHTRD,Landbase,N200047,Landbase
LEADXWXCNS,Wuxi Lead,N210944,Wuxi Lead Intelligent Equipment
LEADXWXIHS,Wuxi Lead,N211081,Wuxi Lead Intelligent Equipment
LEARXCSLGS,LEAR CORPORATION,0,(blank)
LEARXCSXXS,LEAR CORPORATION,0,(blank)
LEARXSHTRT,LEAR CORPORATION,0,(blank)
LEARXWHTRT,LEAR CORPORATION,0,(blank)
LEMARBJXWS,LEXMARK,N200751,LEXMARK
LEMARGHD2S,LEXMARK,N200751,LEXMARK
LEMARSHTRT,LEXMARK,N210956,LEXMARK
LEMARSHYXS,LEXMARK,N200751,LEXMARK
LENXXSHTRD,LENOVO,N200299,Lenovo Corporate
LENXXSHYXS,LENOVO,N200299,Lenovo Corporate
LEOPACSXXS,Changfeng Group,0,(blank)
LEOPAJMZXS,Changfeng Group,0,(blank)
LFRDATJLZT,Lifuruida,N211136,Beijing Lifuruida
LFRDXTJLZS,利福瑞达,N200226,Beijing Lifuruida
LFRDXTJLZT,利福瑞达,N200226,Beijing Lifuruida
LGCSCSHKQS,LGC Standards,0,(blank)
LIAOYLNTDD,Liao Yuan,N211088,"Jinzhou liaoyuan Logistics co.,ltd"
LIAOYLNTRD,Liao Yuan,N211088,"Jinzhou liaoyuan Logistics co.,ltd"
LIFUNSZLHM,LI & FUNG,0,(blank)
LINDTSHKQP,LINDT & SPRUENGLI,N200266,Lindt
LINDTSHKQR,LINDT & SPRUENGLI,N211130,Lindt
LINDTSHKQS,LINDT & SPRUENGLI,N200266,Lindt
LINDTSHTRT,LINDT & SPRUENGLI,N200266,Lindt
LINKDJSTRD,Linkdata,N200664,LD GROUP
LINKESHTRT,LinkedCare,N200228,Linkedcare
LINUOJNTRD,Linuo,N200868,Linuo PV Group
LITEOGZTRD,Lite-on,N200507,Lite-On
LITONGZTRT,PEPSICO,0,(blank)
LITONSHTRT,PEPSICO,0,(blank)
LONGISHTRT,LONGi,0,(blank)
LONGIXATRT,LONGi,N200110,LONGi Green Energy Technology
LOXSOJSTRD,Loxson,N200672,Loxson Logistic
LQLUGQDTRD,Linqing Lugang,N200681,Qingdao Haihang Jieyun Intl
LSHBDBGOHS,LSH Overhead,0,(blank)
LSHOFBGOHS,LSH Overhead,0,(blank)
LSHOHBGOHS,LSH Overhead,0,(blank)
LSHOTBGOHS,LSH Overhead,0,(blank)
LSHYYBGOHS,LSH-TS Overhead,0,(blank)
LSHZQBGOHS,ZQ-TS Overhead,0,(blank)
LSWANWXCJS,Midea,0,(blank)
LUCKIBJALS,Luckin,N211630,Beijing Jinjianweiye Logistics
LUCKIBJALS,Luckin,N211630,Luckin
LUCKIBJTRT,Luckin,N211630,Luckin
LUCKICNTRT,Luckin,N211630,Luckin
LUCKISHDQS,Luckin,N211630,Luckin
LUCKISHTDT,Luckin,0,(blank)
LUCKISHTRD,Luckin,N211630,Luckin
LUCKISHTRT,Luckin,N211630,Luckin
LUCKISJLQS,Luckin,N211630,Luckin
LUCKISJTRD,Luckin,N211630,Luckin
LUCKITJXQS,Luckin,0,(blank)
LZBSHLATRT,Lanzhou BSH,N200280,Sinopec
MAETADGTRT,Maetay Electronic,0,(blank)
MARQTSHTRD,Marquardt,N211179,Marquardt
MARSXBJALP,MARS,S200613,Mars Wrigley Confectionary
MARSXBJALS,MARS,N200049,Mars Petcare
MARSXBJSHD,MARS,0,(blank)
MARSXBJSHS,MARS,N211320,Mars Wrigley Confectionary
MARSXBJTRT,MARS,0,(blank)
MARSXCDXXP,MARS,N200834,Mars Wrigley Confectionary
MARSXCDXXS,MARS,N211393C1,Mars Wrigley Confectionary
MARSXCNTRT,MARS,0,(blank)
MARSXGDTRT,MARS,S211510,Mars Wrigley Confectionary
MARSXJXXWP,MARS,N211438,Mars Wrigley Confectionary
MARSXJXXWS,MARS,N211194,Mars Wrigley Confectionary
MARSXJXXWS,MARS,N211194,Taotong
MARSXNJIHS,MARS,0,(blank)
MARSXSHTRT,MARS,N200625,Mars Wrigley Confectionary
MARSXSYFMS,MARS,N211469C1,Jilin Chengquan Logistics
MARSXSYFMS,MARS,N211469C1,Mars Wrigley Confectionary
MARSXSYTRT,MARS,N200707,Jilin Chengquan Logistics
MARSXWHIHP,MARS,N200360,Mars Wrigley Confectionary
MARSXWHIHS,MARS,0,(blank)
MARYKHZIHS,Mary Kay Cosmetics,N200513C1,Mary Kay Cosmetics
MAXIMGZTRT,Maxim,N200774,Maxims
MBXXXSHKQS,Miltenyi Biotec,0,(blank)
MBXXXSHTRT,Miltenyi Biotec,0,(blank)
MEITYBJTRD,Meitaoyuan,S211364,Beijing Meitaoyuan Culture Communication Co. Ltd
MERCKBJXWV,Merck,N211344,Merck Group
MICHEBJXWS,MICHELIN,N211217,MICHELIN
MICHESHIHS,MICHELIN,N211215,MICHELIN
MICHESHTRT,MICHELIN,N211214,MICHELIN
MICHESHXCS,MICHELIN,N211214,MICHELIN
MICHESYTRT,MICHELIN,N200792C1,MICHELIN
MICHETCTGS,MICHELIN,N211214,MICHELIN
MICHETCTRT,MICHELIN,N211214,MICHELIN
MIDEASUCHS,Midea,S200846,Midea
MIDEASZXCS,Midea,N200791,Midea
MIGTMSHBSS,MEDTRONIC,0,(blank)
MIGTMSSFTP,MEDTRONIC,0,(blank)
MIGTMSSFTS,MEDTRONIC,N211292,MEDTRONIC
MINDRSZDCS,迈瑞医疗,0,(blank)
MINDRSZDKR,迈瑞医疗,0,(blank)
MINDRSZDYT,迈瑞医疗,0,(blank)
MINDRSZNCS,迈瑞医疗,0,(blank)
MINDRSZNYT,迈瑞医疗,0,(blank)
MINGYCDXXS,MingYu logistic,N210983,MingYu logistic
MINGYSYFMS,MingYu logistic,N210970,MingYu logistic
MLBKDSHTRD,MLB,N211374,MLB
MLBKDSHWHS,MLB,N211374,MLB
MLTRAHZTRD,Mltrans,0,(blank)
MODPHSXTRT,Modern Pharmaceutical ,N190110,Shaanxi Modern Pharmaceutical
MOLEXSHBSH,MOLEX,0,(blank)
MOLEXSHBSS,MOLEX,N200770,(blank)
MTDIGNTTRT,Civilization Mengyi Group,N211645,Civilization Mengyi Group
MTDIGNTTRW,Civilization Mengyi Group,N200198,Civilization Mengyi Group
NBAUTCNAUS,Budget New Business - Automotive,0,(blank)
NBAUTCNAUT,Budget New Business - Automotive,0,(blank)
NBAUTCNEMT,Budget New Business - Automotive,0,(blank)
NBAUTCNGSF,Budget New Business - Automotive,0,(blank)
NBAUTCNGST,Budget New Business - Automotive,0,(blank)
NBAUTCNTDT,Budget New Business - Automotive,0,(blank)
NBCHECNCMS,Budget New Business - Chemicals,0,(blank)
NBCONCNCOS,Budget New Business - Consumer,0,(blank)
NBCONCNCOT,Budget New Business - Consumer,0,(blank)
NBCONCNCOW,Budget New Business - Consumer,0,(blank)
NBCONCNTDT,Budget New Business - Consumer,0,(blank)
NBENECNTDT,Budget New Business - Energy,0,(blank)
NBHEACNLHS,Budget New Business - Healthcare,0,(blank)
NBHEACNLHT,Budget New Business - Healthcare,0,(blank)
NBHEACNLHW,Budget New Business - Healthcare,0,(blank)
NBHEACNTDT,Budget New Business - Healthcare,0,(blank)
NBINDCNEMS,Budget New Business - Industrial,0,(blank)
NBINDCNEMT,Budget New Business - Industrial,0,(blank)
NBINDCNEMW,Budget New Business - Industrial,0,(blank)
NBINDCNTDT,Budget New Business - Industrial,0,(blank)
NBRETCNRES,Budget New Business - Retail,0,(blank)
NBRETCNRET,Budget New Business - Retail,0,(blank)
NBRETCNREW,Budget New Business - Retail,0,(blank)
NBRETCNTDT,Budget New Business - Retail,0,(blank)
NBSPDCNAUD,Budget New Business - Automotive,0,(blank)
NBSPDCNAUS,Budget New Business - Automotive,0,(blank)
NBTCMCNTCT,Budget New Business - Technology,0,(blank)
NBTECCNTCS,Budget New Business - Technology,0,(blank)
NBTECCNTCT,Budget New Business - Technology,0,(blank)
NBTECCNTCW,Budget New Business - Technology,0,(blank)
NBTECCNTDT,Budget New Business - Technology,0,(blank)
NBTSLCNTCS,Budget New Business - Technology,0,(blank)
NBTSLCNTCT,Budget New Business - Technology,0,(blank)
NBTSLCNTCW,Budget New Business - Technology,0,(blank)
NBTSLCNTDT,Budget New Business - Technology,0,(blank)
NBTSYCNDWS,LSH-TS 新客户,0,(blank)
NBTSYCNDWT,LSH-TS 新客户,0,(blank)
NBTSYCNTSC,LSH-TS 新客户,0,(blank)
NBTSYCNTSS,LSH-TS 新客户,0,(blank)
NBTSYCNTST,LSH-TS 新客户,0,(blank)
NBTSZCNTSC,ZQ-TS 新客户,0,(blank)
NBTSZCNTSS,ZQ-TS 新客户,0,(blank)
NBTSZCNTST,ZQ-TS 新客户,0,(blank)
NBXEICNEIS,Budget New Business - Emerging,0,(blank)
NBXEICNEIT,Budget New Business - Emerging,0,(blank)
NBXHFCNHFS,Budget New Business - Home Furnishing,0,(blank)
NBXHFCNHFT,Budget New Business - Home Furnishing,0,(blank)
NESPRSHTRR,Nespresso,N200085,Nespresso
NESPRSHTRR,Nespresso,N200085,NESTLE
NESTLDGTRT,NESTLE,N190074,NESTLE
NESTLSYTRT,NESTLE,N190074,NESTLE
NETRASHDQS,Netrada,0,(blank)
NEUSMBJTRD,Neusoft Medical Systems,N211129,Neusoft Medical Systems
NEUSMBJXWS,Neusoft Medical Systems,N211044,Neusoft Medical Systems
NEUSMGHD1S,Neusoft Medical Systems,N211044,Neusoft Medical Systems
NEWBAJSTRD,New Balance,N200090,New Balance
NEXPEDGIHS,Nexperia,N190165,Nexperia
NEXPEDGTMS,Nexperia,N200865,Nexperia
NEXPEDGWHS,Nexperia,0,(blank)
NEXPESHBSS,Nexperia,0,(blank)
NIANCSHDQS,NIANCE,N211077,NIANCE
NIANCSHTDD,NIANCE,N200265,NIANCE
NIANCSHTRD,NIANCE,N211077,NIANCE
NIANYTJTRT,Nianyu Transportation,N200514,Handan Nianyu Transportation Device
NIDECBJTRD,Nidec,N200830,Nidec
NIDECQDTRD,Nidec,S211684,Nidec
NIKECSHKQM,NIKE,0,(blank)
NISSASHTRT,NISSAN,0,(blank)
NITTOSHDQS,NITTO DENKO GROUP,0,(blank)
NITTOSHTDD,NITTO DENKO GROUP,N211010,Nitto Denko Electronics
NITTOSHTRD,NITTO DENKO GROUP,N211010,Nitto Denko Electronics
NIYAZSHSJG,Razer,N211516,Shanghai Niyazi Technology Ltd.
NIYAZSHSJG,Razer,N211516,翰林汇信息产业股份有限公司
NJGCJNJIHG,Nanjing Gongchuangjia,N200529,Nanjing Gongchuangjia Supply Chain Management
NNCETNNZXS,Nanning Center,0,(blank)
NSBSHSHJQS,NOKIA,N190259,Nokia Networks
NSBSHSHYXS,NOKIA,N211182C1,Nokia Networks
NUTRISHTRT,Nutricia,N211078,Nutricia
OAKCTSZTRD,Oak coffee&tea,N200522,Oak Coffee & Tea
OGAWASHJDS,Ogawa,N200275,OGAWA
OLYXXSHKQS,OLYMPUS,N211067,Olympus Lifescience
OLYXXSHTRT,OLYMPUS,N200647,Olympus Lifescience
ONSEMSHFTH,ON SEMICONDUCTOR,0,(blank)
ONSEMSHFTS,ON SEMICONDUCTOR,0,(blank)
OPPEICNTRD,OPPEIN,0,(blank)
OTAUTCNAUS,Other Customers Automotive,0,(blank)
OTAUTCNTRT,TD Overhead - Automotive,0,(blank)
OTCHECDXXS,Other Customers Chemicals,0,(blank)
OTCHESHFSS,Other Customers Chemicals,N200696,CLARIANT
OTCONCNTRT,TD Overhead - Consumer,0,(blank)
OTCONSHKQG,Other Customers Consumer,0,(blank)
OTCONSHKQS,Other Customers Consumer,S190098,(blank)
OTCONSYFMS,Other Customers Consumer,0,(blank)
OTHCMCNTRT,Other Customers CM,0,(blank)
OTHCMCNWHS,Other Customers CM,0,(blank)
OTHEACNTRT,TD Overhead - Healthcare,0,(blank)
OTHEASHFSS,LSH Overhead,0,(blank)
OTHEASHKQS,Other Customers Healthcare,0,(blank)
OTHEMCNEMD,Other Customers Industrial,N200578,Fushun Special Steel
Other Adjustment,Other Adjustment,0,(blank)
OTHERBJOTS,Other Customers Others,0,(blank)
OTHERBJTRT,Other Customers Others,N200305,SF Express
OTHERSHDQS,Other Profit(JV),0,(blank)
OTHERSHITS,Other Customers Others,0,(blank)
OTHERSHKQS,Other Customers Others,0,(blank)
OTINDCNTRT,TD Overhead - Industrial,0,(blank)
OTISXCQIHS,OTIS,N211363C1,Otis
OTISXGZHPS,OTIS,N211133,Otis
OTISXSHIHS,OTIS,N210924C1,Otis
OTISXSHTRD,OTIS,N211132,Otis
OTRETCNTRT,TD Overhead - Retail,0,(blank)
OTTECBJXWS,Other Customers Technology,N211057,BAIC IEC
OTTECBJXWS,Other Customers Technology,N211057,Bejing Penglong Tianchuang
OTTECCNTRT,TD Overhead - Technology,0,(blank)
OTTECSDXXS,Other Customers Technology,N211203,Sekiden
OTTECSHBSS,Other Customers Technology,0,(blank)
OTTECSHDQS,Other Customers Technology,0,(blank)
OTTECSHFJS,Other Customers Technology,0,(blank)
OTTECSHFSS,Other Customers Technology,0,(blank)
OTTECSHKQS,Other Customers Technology,0,(blank)
OTTECSHYXS,Other Customers Technology,0,(blank)
OTTECWXTRT,Other Customers Technology,0,(blank)
OTTSLBJXWS,Other Customers Technology,N211559,"Wal-Mart (Beijing) Commercial Retail Co., Ltd."
OTTSLSHHTS,Other Customers Technology,0,(blank)
OTYPESHSJS,Otype,N211045,Bluefocus Otype
OTYPESHTRR,Otype,N211045,Bluefocus Otype
OULUXSHTRT,WHITBREAD,0,(blank)
OUTSFSHDQS,Outerstuff,N200620,Outerstuff
OUTSFSHTRD,Outerstuff,N200620,Outerstuff
OUTSFSHTRT,Outerstuff,N200620,Outerstuff
OZUKATJTRT,中国大冢,0,(blank)
PAHYSFZTRR,平安好医生,N200235,(blank)
PAHYSJXJXR,平安好医生,0,(blank)
PAHYSJXJXT,平安好医生,N200235,(blank)
PAHYSJXWHG,Ping An HYS,N211355,Ping An Health
PAHYSNXTRR,平安好医生,N200235,(blank)
PAHYSSHSHC,平安好医生,N200235,(blank)
PAHYSSHSHR,平安好医生,0,(blank)
PAHYSSHSHS,平安好医生,N200235,(blank)
PAHYSSUTRT,平安好医生,0,(blank)
PANASSHKQS,Panasonic - Technology,N200742,Panasonic Corporate
PENGJKMTRD,Longchuan Pengjin,0,(blank)
PEPSISHTDT,PEPSICO,N211414,PEPSICO
PEPSISHTRT,PEPSICO,N211414,PEPSICO
PERNOBJALS,PERNOD RICARD,0,(blank)
PERNOBJTRT,PERNOD RICARD,0,(blank)
PERNOSHFSH,PERNOD RICARD,N211542,PERNOD RICARD
PERNOSHFSS,PERNOD RICARD,N211542,PERNOD RICARD
PERNOSHM2S,PERNOD RICARD,N211542,PERNOD RICARD
