account_name_en,account_name_cn_x,year,cost_center_x,income_amt,gross_profit_amt,human_cost_amt,service_outsourcing_amt,labor_service_outsourcing_amt,account_name_cn_y,cost_center_y,人力,场地,增值,报关代理,操作,短驳运输,索赔及返利,设备使用,bms_total,operation_fee,op_pct,wh_pct,va_pct,type
Shanghai Xinwei Ecommerce,上海心味电子商务有限公司,2021,"{'VENCHSHKQS', 'VENCHSHTRT', 'XINWESHKQP'}",1641098.33,244462.44000000006,83229.05,73119.25,7088.46,上海心味电子商务有限公司,"{'VENCHSHKQS', 'XINWESHKQP'}",4956.405660377359,100880.03907232704,7000.0,0.0,30412.58421383648,0.0,0.0,0.0,143249.02894654087,35368.98987421384,0.2469056169826687,0.704228432221865,0.048865950795466344,仓储型
Shell Downstream,壳牌,2020,{'SHEHKSHTWS'},3696578.28,369296.61000000004,57886.38,134.63,0.0,壳牌,{'SHEHKSHTWS'},0.0,301524.09433962265,4207.5,28888.0,104631.41981132077,45437.66055045871,0.0,0.0,484688.67470140214,104631.41981132077,0.21587345707175873,0.6220984934821924,0.008680830024741298,仓储型
Shell Downstream,壳牌,2021,{'SHEHKSHTWS'},3340464.55,233284.4599999998,14912.62,0.0,0.0,壳牌,{'SHEHKSHTWS'},0.0,1106004.8113207547,22293.37893081761,67180.61320754717,391099.93396226416,392031.8373434885,0.0,0.0,1978610.5747648722,391099.93396226416,0.19766392586309736,0.558980541914968,0.011267188811758392,仓储型
SinoRail Info Engineering Group,中铁信息工程集团,2020,{'SINORBJXWS'},247980.0,76112.81999999998,23200.84,184.38999999999996,0.0,中铁信息工程集团,{'SINORBJXWS'},0.0,90092.5,0.0,0.0,0.0,0.0,0.0,0.0,90092.5,0.0,0.0,1.0,0.0,仓储型
SinoRail Info Engineering Group,中铁信息工程集团,2021,{'SINORBJXWS'},234160.0,117439.02,300.36,0.0,0.0,中铁信息工程集团,{'SINORBJXWS'},0.0,184536.0530188679,0.0,0.0,0.0,0.0,0.0,0.0,184536.0530188679,0.0,0.0,1.0,0.0,仓储型
Solvay Chemicals,索尔维,2020,"{'SOLVASHMFS', 'SOLVASHFSS'}",3672532.8699999996,204892.0500000004,1178528.89,8997.520000000002,220602.01,索尔维,"{'SOLVASHMFS', 'SOLVASHFSS'}",41880.74,567143.0858018869,73201.19496855346,0.0,85575.91908355801,0.0,0.0,7924.0,775724.9398539984,127456.65908355801,0.1643065119287605,0.7311136417872947,0.09436488529340167,仓储型
Solvay Chemicals,索尔维,2021,"{'SOLVASHMFS', 'SOLVASHFSS'}",3052340.88,-1279446.7200000002,733521.79,5469.32,110528.89,索尔维,"{'SOLVASHMFS', 'SOLVASHFSS'}",16777.223333333335,879762.6707075471,182615.5596226415,0.0,153167.4997647125,0.0,0.0,71320.0,1303642.9534282344,169944.72309804583,0.13036140198597812,0.6748494044278037,0.140080962461701,仓储型
Suzhou Kemiyou Technology,苏州科密优机电科技,2020,"{'SIEMESUEPS', 'SIEMESUTRT'}",71958530.11000001,20921422.41000003,5551248.94,-561788.3599999999,0.0,苏州科密优机电科技,{'SIEMESUEPS'},0.0,593327.9003846154,31264.903214285718,6401.666666666667,556862.1720350386,0.0,0.0,0.0,1187856.6423006062,556862.1720350386,0.4687957723219227,0.49949453431979396,0.026320434723278358,平衡型
Taotong,广州淘通科技,2020,"{'MARSXBJALP', 'MARSXCNTRT', 'MARSXGDTRT', 'MARSXBJSHD', 'MARSXJXXWS'}",73105015.80000003,11092300.110000024,5872812.28,3489064.7300000004,5283356.83,广州淘通科技,"{'MARSXJXXWS', 'MARSXBJALP'}",39452.83018867925,1703111.2295597484,193408.41398274788,0.0,965205.4159900895,0.0,0.0,399753.12657232705,3300931.0162935923,1004658.2461787688,0.3043560259877337,0.5159487493537701,0.058592079939893446,仓储型
VWEI,深圳威巍生物科技有限公司,2021,{'WEIWEGZHPS'},84440.9,37501.740000000005,868.37,4000.0,6091.290000000001,深圳威巍生物科技有限公司,{'WEIWEGZHPS'},4066.1462264150946,42632.89622641509,2.0,0.0,3250.0,2.0,0.0,0.0,49953.04245283019,7316.146226415094,0.1464604730197086,0.8534594517775892,4.003760135108019e-05,仓储型
